Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
HP11953,Kancheepuram,Uthiramerur,Malayankulam,"12°42'30""","79°48'40""",07-07-2015,540,6,16,30.375,154,8,74,39,0,384.3,0.63,8.2,1020,165,5.216476,3.001205,65.66502,9.35272,0.282660011,3.353827275,43.47553891,1.12622348,0.18218321,0.214644924,57.98779781
MWS1A,Kancheepuram,Uthiramerur,Nanmangalam,"12°56'30""","80°10'01""",07-07-2015,821,4,44,76.545,168,0.1,294,43,0,353.8,0.22,7.7,1580,425,3.545842,0,46.23687,5.455753333,0.777315029,8.451644733,15.18193422,1.744542253,0.469259783,0.326339783,32.40678914
11961,Kancheepuram,Sriperumbudur,Oragadam,"12°50'59""","79°56'43""",07-07-2015,547,5,40,40.095,122,0.1,152,30,0,280.6,0.52,7.7,1060,265,3.261257,0,50.04062,5.455753333,0.706650027,4.427052003,35.8845718,1.170389107,0.292597277,0.217427358,48.1544409
13016,Kancheepuram,Sriperumbudur,Padappai,"12°53'00""","80°01'35""",07-07-2015,1127,5,146,97.2,140,0.1,532,31,0,317.2,0.41,7.7,2140,765,2.202836,0,28.48733,5.455753333,2.579272597,10.73224728,28.29360469,2.362861027,0.84466761,0.447971906,50.71637844
13158,Kancheepuram,Sriperumbudur,Maduramangalam,"12°57'00""","79°49'00""",07-07-2015,501,1,16,34.02,140,0.1,85,30,0,384.3,1.05,7.9,970,180,4.540283,2.701267,62.84397,7.01454,0.282660011,3.756286548,72.45923151,1.071016447,0.19874532,0.199142791,84.98162263
13159,Kancheepuram,Sriperumbudur,Sriperumbudur(b.d.o.offi),"12°58'00""","79°47'30""",07-07-2015,333,4,56,20.655,55,0.1,117,24,0.4125363,69.55592,1.03,7.8,690,225,1.595914,0,34.72599,6.235146667,0.989310037,2.280602547,71.07905567,0.76185706,0.24843165,0.13236437,81.726768
HP11960,Kancheepuram,Sriperumbudur,Pondur,"12°55'45""","79°56'15""",07-07-2015,1271,10,36,65.61,327,43,567,26,0,323.3,0.29,7.6,2250,360,7.498904,0,63.1632,4.67636,0.635985024,7.244266914,20.01254966,2.4843165,0.39749064,0.505210553,35.95617929
HP11962,Kancheepuram,Sriperumbudur,Kunrathur,"12°59'30""","80°05'50""",07-07-2015,716,6,42,54.675,144,9,227,32,0,359.9,0.49,7.8,1310,330,3.449307,0,47.85455,6.235146667,0.741982528,6.036889095,33.81430804,1.446424273,0.36436642,0.28460327,48.92372029
LabKpm09,Kancheepuram,Sriperumbudur,Senthamangalam,"12°54'37""","79°50'35""",07-07-2015,228,1,26,6.075,64,0.1,35,16,1.163592,123.7864,0.88,8,460,90,2.936524,0.2703739,60.73178,7.793933333,0.459322517,0.670765455,60.72773689,0.507904707,0.09937266,0.090627857,70.34966342
LabKpm10,Kancheepuram,Sriperumbudur,Padappai-2,"12°54'38""","80°01'29""",07-07-2015,684,13,122,70.47,32,0.1,238,26,0,274.5,0.22,7.8,1330,595,0.5709385,0,10.47998,6.235146667,2.155282581,7.780879278,15.18193422,1.468507087,0.656963697,0.27188357,33.7505971
LAbKpm11,Kancheepuram,Sriperumbudur,Chembarabakkam,"13°00'29""","80°04'58""",07-07-2015,294,1,34,25.515,35,0.1,85,24,2.053938,137.8668,0.13,8.2,530,190,1.105007,0,28.60973,9.35272,0.600652523,2.817214911,8.971142949,0.585194553,0.209786727,0.116862236,22.6535739
A13001,Kancheepuram,Sriperumbudur,Sriperumbudur Pwd Tank,"12°58'21""","79°56'27""",07-07-2015,917,4,66,76.545,167,9,425,33,0,244,0.14,7.7,1710,480,3.316894,0,42.51307,5.455753333,1.165972544,8.451644733,9.661230868,1.88808054,0.52998752,0.36449888,27.51716842
MWS1,Kancheepuram,Uthiramerur,Salamangalam,"12°53'08""","80°00'46""",07-07-2015,672,3,34,64.395,154,0.1,234,26,0,292.8,1.06,7.7,1370,350,3.581668,0,48.90625,5.455753333,0.600652523,7.110113823,73.14931943,1.512672713,0.386449233,0.267113683,88.48207474
Lab Kpm02,Kancheepuram,Alandur,Anakaputhur,,,07-07-2015,797,30,40,97.2,108,0.1,188,82,0,298.9,0.2,7.7,1470,500,2.101463,0,31.96857,5.455753333,0.706650027,10.73224728,13.80175838,1.62308678,0.552070333,0.316800008,33.18836614
Lab Kpm03,Kancheepuram,Sholinganallur,Ottiambakkam,,,07-07-2015,649,3,86,18.225,140,0.1,170,51,0,341.6,0.21,7.6,1190,290,3.578582,0,51.24356,4.67636,1.519297557,2.012296365,14.4918463,1.313927393,0.320200793,0.257971399,24.59189981
