Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
MWW14,Kancheepuram,Cheyyur,Kattudevadur,"12°23'48""","79°56'15""",06-07-2017,446,8,64,23.085,66,2,106,49,2.420921,162.4998,0.56,8.2,800,255,1.798928,0,35.81594,9.35272,1.130640043,2.548908729,38.64492347,0.883312533,0.28155587,0.177280808,53.01934146
Hp11916A,Kancheepuram,Madhuranthagam,Salaiyur,,,06-07-2017,1415,8,64,70.47,376,5,730,57,0,152.5,0.55,8.1,2550,450,7.71297,0,64.19875,8.573326667,1.130640043,7.780879278,37.95483555,2.8155587,0.4968633,0.562449199,59.31455274
KpmMWW7,Kancheepuram,Cheyyur,Kannimangalam,,,06-07-2017,292,1,40,29.16,35,0.1,96,27,2.303809,97.57059,0.45,8.4,590,220,1.026912,0,25.71348,10.91150667,0.706650027,3.219674184,31.05395636,0.651442993,0.242910947,0.116067255,46.90220844
Lab Kpm02,Kancheepuram,Alandur,Anakaputhur,,,07-07-2017,711,30,106,59.535,58,0.1,167,35,0,305,0.1,7.6,1270,510,1.117746,0,19.84259,4.67636,1.872622571,6.573501459,6.900879192,1.402258647,0.56311174,0.282615817,22.27134942
Lab Kpm03,Kancheepuram,Sholinganallur,Ottiambakkam,,,07-07-2017,290,0.1,38,13.365,58,0.1,64,10,1.296692,173.6636,0.11,7.9,550,150,2.061221,0,45.69082,7.01454,0.671317525,1.475684001,7.590967111,0.607277367,0.1656211,0.115272274,17.64067938
LabKpm01,Kancheepuram,Tambaram,Rajakelpakkam,,,07-07-2017,731,2,46,69.255,136,0.1,273,30,0,335.5,0.1,7.8,1390,400,2.958857,0,42.51994,6.235146667,0.812647531,7.646726187,6.900879192,1.534755527,0.441656267,0.290565629,23.862377
13015,Kancheepuram,Tambaram,Madurabakkam,"12°52'07""","80°10'11""",07-07-2017,1121,12,84,136.08,150,0.1,383,25,0,579.5,0.17,7.7,2190,770,2.352099,0,29.76984,5.455753333,1.483965056,15.02514619,11.73149463,2.41806806,0.850188313,0.445586963,37.41020254
13232,Kancheepuram,Tambaram,Tambaram,"12°55'50""","80°07'60""",07-07-2017,619,15,80,41.31,92,0.1,142,15,0,366,0.23,7.5,1140,370,2.081589,0,35.11546,3.896966667,1.413300053,4.561205094,15.87202214,1.25872036,0.408532047,0.246046681,27.65679304
13236A,Kancheepuram,Tambaram,St.thomas Mount,"13°00'14""","80°11'43""",07-07-2017,589,20,44,46.17,110,0.1,167,36,0,195.2,0.36,7.9,1080,300,2.763607,0,44.37565,7.01454,0.777315029,5.097817458,24.84316509,1.19247192,0.3312422,0.234121963,39.49067366
13237A,Kancheepuram,Tambaram,Alandur,"13°00'16""","80°12'48""",07-07-2017,584,3,76,20.655,113,0.1,149,90,0,244,0.18,8,1040,275,2.966029,0,47.21534,7.793933333,1.342635051,2.280602547,12.42158255,1.148306293,0.303638683,0.23213451,25.52283296
13238m,Kancheepuram,Tambaram,Pallavaram,"12°58'04""","80°09'01""",07-07-2017,690,14,46,44.955,150,0.1,259,42,0,170.8,0.1,7.9,1250,300,3.768608,0,52.10508,7.01454,0.812647531,4.963664367,6.900879192,1.380175833,0.3312422,0.274268514,21.67741764
HP11933,Kancheepuram,Tambaram,Madambakkam.113,"12°54'00""","80°08'52""",07-07-2017,690,11,110,53.46,74,0.1,181,9,0,427,0.1,7.7,1310,495,1.44758,0,24.55232,5.455753333,1.943287573,5.902736004,6.900879192,1.446424273,0.54654963,0.274268514,22.46989852
MWS2,Kancheepuram,Tambaram,Mambakkam,"12°50'15""","80°10'00""",07-07-2017,171,0.1,30,20.655,5,0.1,53,1,0.187185,99.80284,0.1,7.3,340,160,0.1720251,0,6.365151,2.33818,0.52998752,2.280602547,6.900879192,0.375407827,0.176662507,0.067970893,12.66969048
MWS3,Kancheepuram,Tambaram,Chitlabakkam,"12°52'09""","80°11'23""",07-07-2017,1270,0.1,48,75.33,338,0.1,510,146,0,305,0.22,8.1,2330,430,7.09242,0,63.10242,8.573326667,0.847980032,8.317491642,15.18193422,2.572647753,0.474780487,0.504813062,36.47297386
MWS4,Kancheepuram,Tambaram,Erumpuliyur,"12°55'00""","80°06'31""",07-07-2017,810,9,108,36.45,145,0.1,252,46,0,366,0.1,7.6,1470,420,3.079562,0,42.90912,4.67636,1.907955072,4.02459273,6.900879192,1.62308678,0.46373908,0.321967386,19.91858024
MWS5,Kancheepuram,Tambaram,Thiruneermalai,"12°57'33""","80°07'11""",07-07-2017,1465,3,204,63.18,265,0.1,695,97,0,256.2,0.42,7.6,2690,770,4.156744,0,42.83642,4.67636,3.603915136,6.975960732,28.98369261,2.970138393,0.850188313,0.582323729,48.64257891
13231,Kancheepuram,Tambaram,Vengivasal,"12°51'00""","80°10'13""",07-07-2017,869,14,62,55.89,184,0.1,269,92,0,286.7,0.17,7.7,1570,385,4.080795,0,50.98035,5.455753333,1.095307541,6.171042186,11.73149463,1.733500847,0.425094157,0.345419331,26.95761202
kpmMWW20,Kancheepuram,Uthiramerur,Vinayagapuram,,,08-07-2017,529,7,42,32.805,103,0.1,191,68,0,122,0.29,8,930,240,2.893355,0,48.28755,7.793933333,0.741982528,3.622133457,20.01254966,1.02685082,0.26499376,0.210272527,33.67271608
11717,Kancheepuram,Uthiramerur,Perunager-2,"12°39'03""","79°38'59""",08-07-2017,492,4,14,25.515,137,1,121,38,3.301679,221.6191,0.74,8.2,880,140,5.037996,0.9444388,67.84899,9.35272,0.247327509,2.817214911,51.06650602,0.971643787,0.154579693,0.195565375,64.80555729
11718,Kancheepuram,Uthiramerur,Uthiramerur,"12°36'59""","79°45'43""",08-07-2017,1186,24,20,46.17,366,1,347,58,90,305,0.32,8.5,2070,240,10.27925,3.202023,76.74928,11.6909,0.353325013,5.097817458,22.08281341,2.28557118,0.26499376,0.471423852,42.24684468
11750,Kancheepuram,Uthiramerur,Sethanacheri,"12°40'47""","79°45'16""",08-07-2017,142,2,30,9.72,7,0.1,18,13,0.837656,89.11234,0.24,8,260,115,0.2841176,0,11.69275,7.793933333,0.52998752,1.073224728,16.56211006,0.287076573,0.126976177,0.056443665,26.42975206
MWW26,Kancheepuram,Uthiramerur,Perunager-2,"12°39'03""","79°38'59""",08-07-2017,641,5,40,47.385,136,4,213,72,0,213.5,0.78,8.1,1190,295,3.445576,0,49.65566,8.573326667,0.706650027,5.231970549,53.8268577,1.313927393,0.325721497,0.254791475,70.2332453
11725,Kancheepuram,Uthiramerur,Thirupulivanam,"12°40'08""","79°45'37""",08-07-2017,224,2,28,34.02,7,0.1,35,14,1.870545,158.0665,0.36,8.1,450,210,0.210194,0,6.760562,8.573326667,0.494655019,3.756286548,24.84316509,0.4968633,0.23186954,0.089037894,38.48520406
13013,Kancheepuram,Uthiramerur,Kavanipakkam,,,08-07-2017,1339,14,108,80.19,268,17,432,97,0,549,0.41,8,2410,600,4.761392,0,48.4098,7.793933333,1.907955072,8.854104006,28.29360469,2.660979007,0.6624844,0.532239913,50.70530042
HP11939,Kancheepuram,Uthiramerur,Salavakkam,"12°40'00""","79°53'40""",08-07-2017,368,6,56,15.795,60,3,53,16,3.301679,221.6191,0.47,8.2,6680,205,1.824041,0,38.4877,9.35272,0.989310037,1.743990183,32.4341322,7.375659653,0.226348837,0.146276541,52.26843745
HP11953,Kancheepuram,Uthiramerur,Malayankulam,"12°42'30""","79°48'40""",08-07-2017,442,3,14,36.45,100,11,60,41,7.933948,266.9079,0.55,8.5,830,185,3.198844,0.9413756,52.22326,11.6909,0.247327509,4.02459273,37.95483555,0.916436753,0.204266023,0.175690845,55.21404942
MWW18,Kancheepuram,Uthiramerur,Karuveppam Poondi,"12°40'47""","79°45'16""",08-07-2017,998,3,12,82.62,238,20,323,96,84,256.2,0.68,8.4,1830,370,5.382888,0,56.69012,10.91150667,0.211995008,9.122410188,46.9259785,2.02057742,0.408532047,0.396695619,69.99769545
MWW21,Kancheepuram,Uthiramerur,Kurumberi,"12°39'57""","79°53'12""",08-07-2017,582,4,82,25.515,94,23,113,13,0,427,0.27,7.8,1090,310,2.323804,0.8072894,37.61925,6.235146667,1.448632555,2.817214911,18.63237382,1.203513327,0.342283607,0.231339529,30.91050441
LabKpm16,Kancheepuram,Kancheepuram,Kancheepuram Kailasanatha,"12°50'33""","79°41'22""",08-01-2018,1048,8,32,37.665,283,35,333,185,0,213.5,0.39,8.1,1790,235,8.033172,0,68.76482,8.573326667,0.565320021,4.158745821,26.91342885,1.976411793,0.259473057,0.416570149,42.86327636
LabKpm17,Kancheepuram,Kancheepuram,Kurivimalai,"12°47'24""","79°42'50""",08-01-2018,503,11,90,21.87,61,9,145,5,0,244,0.55,7.4,920,315,1.496051,0,28.9205,3.117573333,1.58996256,2.414755638,37.95483555,1.015809413,0.34780431,0.199937772,46.64067858
LabKpm32,Kancheepuram,Kancheepuram,Damal,,,08-01-2018,333,4,20,31.59,61,2,92,1,1.629215,173.3208,0.34,8,630,180,1.978359,0,42.10283,7.793933333,0.353325013,3.487980366,23.46298925,0.69560862,0.19874532,0.13236437,36.12494627
LabKpm33,Kancheepuram,Kancheepuram,Thulukkanthandalam,,,08-01-2018,466,24,44,18.225,78,16,71,11,2.338365,197.5987,0.49,8.1,750,185,2.495955,0,45.25222,8.573326667,0.777315029,2.012296365,33.81430804,0.8281055,0.204266023,0.18523062,46.39484824
LabKpm34,Kancheepuram,Kancheepuram,Musaravakkam,,,08-01-2018,607,2,14,19.44,209,21,113,1,60,323.3,1.23,8.4,1190,115,8.480445,5.000961,76.2255,10.91150667,0.247327509,2.146449456,84.88081406,1.313927393,0.126976177,0.241276794,99.86827805
13014A,Kancheepuram,Uthiramerur,Magaral,"12°43'00""","79°45'18""",08-01-2018,1271,42,64,48.6,224,154,160,98,0,671,0.1,7.6,2090,360,5.137709,3.805449,46.67443,4.67636,1.130640043,5.36612364,6.900879192,2.307653993,0.39749064,0.505210553,21.28435806
2404A,Kancheepuram,Thirukazhukkuntram,Thiruparuthikundram,"12°49'54""","79°40'51""",08-01-2018,607,12,22,32.805,152,27,89,43,90,195.2,0.78,8.4,1110,190,4.798247,2.402222,59.56661,10.91150667,0.388657515,3.622133457,53.8268577,1.22559614,0.209786727,0.241276794,70.42581499
11902,Kancheepuram,Thirukazhukkuntram,Nenmeli,"12°39'57""","80°01'03""",02-01-2018,215,3,20,37.665,4,1,46,1,1.396404,148.5536,0.13,8,430,205,0.1215576,0,4.049078,7.793933333,0.353325013,4.158745821,8.971142949,0.474780487,0.226348837,0.085460479,22.06373692
HP13006,Kancheepuram,Thirukazhukkuntram,P.v.kalathur,"12°37'04""","79°58'31""",02-01-2018,1011,9,138,53.46,148,3,347,178,0,207.4,0.42,7.9,1780,565,2.710013,0,36.16574,7.01454,2.437942592,5.902736004,28.98369261,1.965370387,0.623839477,0.401862997,47.32998406
LabKpm23,Kancheepuram,Thirukazhukkuntram,T.k.kundram(ib),,,02-01-2018,594,12,32,44.955,127,2,160,22,0,305,0.52,8.1,1090,265,3.394698,0,50.81327,8.573326667,0.565320021,4.963664367,35.8845718,1.203513327,0.292597277,0.236109416,51.71910287
LabKpm10,Kancheepuram,Sriperumbudur,Padappai-2,"12°54'38""","80°01'29""",08-01-2018,665,10,88,69.255,56,2,294,51,0,122,0.16,7.8,1260,505,1.084456,0,19.36683,6.235146667,1.554630059,7.646726187,11.04140671,1.39121724,0.557591037,0.264331249,28.69104914
LAbKpm11,Kancheepuram,Sriperumbudur,Chembarabakkam,"13°00'29""","80°04'58""",08-01-2018,244,1,40,4.86,47,2,53,16,1.163592,123.7864,0.33,8,450,120,1.867768,0,45.5151,7.793933333,0.706650027,0.536612364,22.77290133,0.4968633,0.13249688,0.096987706,32.53644494
LabKpm24,Kancheepuram,Sriperumbudur,Thandalam(waterplant),,,08-01-2018,828,4,52,99.63,99,23,337,83,0,231.8,0.55,7.8,1570,540,1.853686,0,27.44955,6.235146667,0.918645035,11.00055346,37.95483555,1.733500847,0.59623596,0.329122217,58.76803974
LabKpm25,Kancheepuram,Sriperumbudur,Thandalamrajalakshmi Coll,,,08-01-2018,734,1,88,98.415,26,23,298,120,0,152.5,0.71,7.8,1420,625,0.4525558,0,7.959191,6.235146667,1.554630059,10.86640037,48.99624226,1.567879747,0.690087917,0.2917581,70.20214512
LabKpm26,Kancheepuram,Sriperumbudur,Panrutti Kandigai,,,08-01-2018,574,3,18,51.03,139,2,177,6,0,335.5,1.16,8.2,1120,255,3.787207,0.4018497,54.00892,9.35272,0.317992512,5.634429822,80.05019862,1.236637547,0.28155587,0.228159604,97.10169398
LabKpm27,Kancheepuram,Sriperumbudur,Sogandi,,,08-01-2018,144,0.05,40,4.86,1,9,28,1,0.1181916,99.87551,0.05,7.1,270,120,0.03973975,0,1.629237,0.779393333,0.706650027,0.536612364,3.450439596,0.29811798,0.13249688,0.057238646,5.960948826
LabKpm28,Kancheepuram,Sriperumbudur,Kunnam,,,08-01-2018,858,4,30,26.73,241,32,284,104,0,244,0.78,7.6,1500,185,7.710625,0.3027727,69.8951,4.67636,0.52998752,2.951368002,53.8268577,1.656211,0.204266023,0.341046935,64.18609718
LabKpm29,Kancheepuram,Sriperumbudur,Kanthur,,,08-01-2018,157,1,36,3.645,19,4,35,9,0.3515625,74.62337,0.11,7.7,300,105,0.8072042,0,27.31821,5.455753333,0.635985024,0.402459273,7.590967111,0.3312422,0.11593477,0.062406024,14.59474774
LabKpm30,Kancheepuram,Sriperumbudur,Kovour(i)rishi Enterprise,,,08-01-2018,450,0.05,46,47.385,58,22,160,10,0.5186061,174.4656,1.08,7.5,930,310,1.433484,0,27.18486,3.896966667,0.812647531,5.231970549,74.52949527,1.02685082,0.342283607,0.17887077,86.01908521
LabKpm31,Kancheepuram,Sriperumbudur,Kovour(ii),,,08-01-2018,609,6,48,31.59,126,25,117,21,0,427,0.52,8.2,1110,250,3.468058,2.004168,49.30888,9.35272,0.847980032,3.487980366,35.8845718,1.22559614,0.276035167,0.242071775,51.31695528
11961,Kancheepuram,Sriperumbudur,Oragadam,"12°50'59""","79°56'43""",08-01-2018,681,3,40,58.32,129,16,255,63,0,213.5,0.83,8,1280,340,3.044162,0,43.78392,7.793933333,0.706650027,6.439348368,57.27729729,1.413300053,0.375407827,0.270691099,74.276628
13016,Kancheepuram,Sriperumbudur,Padappai,"12°53'00""","80°01'35""",08-01-2018,1491,3,164,92.34,259,2,674,165,0,244,0.46,7.6,2710,790,4.010388,0,41.57161,4.67636,2.897265109,10.19563492,31.74404428,2.992221207,0.872271127,0.592658485,53.97045512
13159,Kancheepuram,Sriperumbudur,Sriperumbudur(b.d.o.offi),"12°58'00""","79°47'30""",08-01-2018,553,5,108,20.655,63,3,156,73,0,213.5,0.13,7.9,990,355,1.45551,0,27.66214,7.01454,1.907955072,2.280602547,8.971142949,1.09309926,0.391969937,0.219812302,21.87912207
13158,Kancheepuram,Sriperumbudur,Maduramangalam,"12°57'00""","79°49'00""",08-01-2018,288,1,22,20.655,62,4,43,10,1.862027,198.088,0.34,8,560,140,2.280245,0.5114211,48.18624,7.793933333,0.388657515,2.280602547,23.46298925,0.618318773,0.154579693,0.114477293,34.81355841
A13001,Kancheepuram,Sriperumbudur,Sriperumbudur Pwd Tank,"12°58'21""","79°56'27""",08-01-2018,422,1,44,20.655,78,4,78,86,1.03162,173.9368,0.45,7.8,740,195,2.431051,0,45.90712,6.235146667,0.777315029,2.280602547,31.05395636,0.817064093,0.21530743,0.167741033,41.54713316
HP11960,Kancheepuram,Sriperumbudur,Pondur,"12°55'45""","79°56'15""",08-01-2018,2468,16,304,21.87,569,14,1205,192,0,183,0.51,7.8,4210,850,8.496515,0,58.81821,6.235146667,5.370540203,2.414755638,35.19448388,4.648432207,0.938519567,0.981006801,55.78288496
HP11962,Kancheepuram,Sriperumbudur,Kunrathur,"12°59'30""","80°05'50""",08-01-2018,664,8,82,36.45,108,12,191,56,0,286.7,0.57,8,1210,355,2.494774,0,38.83626,7.793933333,1.448632555,4.02459273,39.33501139,1.336010207,0.391969937,0.263933758,54.59408391
MWS1,Kancheepuram,Kancheepuram,Salamangalam,"12°53'08""","80°00'46""",08-01-2018,324,3,24,40.095,40,3,89,8,2.045977,172.8911,0.86,8.1,630,225,1.160316,0,27.55766,8.573326667,0.423990016,4.427052003,59.34756105,0.69560862,0.24843165,0.128786954,73.84475696
LabKpm12,Kancheepuram,Kancheepuram,Ayyamichery,"12°52'00""","79°43'11""",06-01-2018,488,1,40,43.74,77,21,170,25,1.629215,173.3208,0.73,8,950,280,2.002407,0,35.32326,7.793933333,0.706650027,4.829511276,50.3764181,1.048933633,0.309159387,0.193975413,65.25858117
LabKpm13,Kancheepuram,Kancheepuram,Govinthavadiagaram,"12°57'19""","79°40'31""",06-01-2018,244,6,36,13.365,17,26,64,1,0.9307806,99.01922,0.38,8,430,145,0.6144725,0,17.19347,7.793933333,0.635985024,1.475684001,26.22334093,0.474780487,0.160100397,0.096987706,36.86081188
LabKpm14,Kancheepuram,Kancheepuram,Vaiyavoor,"12°50'34""","79°44'39""",06-01-2018,672,5,38,32.805,146,37,284,29,0,164.7,0.09,7.8,1190,230,4.189384,0,53.39898,6.235146667,0.671317525,3.622133457,6.210791273,1.313927393,0.253952353,0.267113683,18.57438235
LabKpm15,Kancheepuram,Kancheepuram,Babashahibpettai,"12°48'16""","79°46'56""",06-01-2018,948,4,42,51.03,218,37,369,137,0,152.5,0.05,8.1,1670,315,5.34482,0,56.69991,8.573326667,0.741982528,5.634429822,3.450439596,1.843914913,0.34780431,0.376821089,20.96871892
LabKpm35,Kancheepuram,Kancheepuram,Marutham,,,06-01-2018,343,1,10,25.515,84,21,46,1,5.763867,244.1105,1.15,8.4,680,130,3.205441,1.594796,53.81519,10.91150667,0.176662507,2.817214911,79.3601107,0.750815653,0.143538287,0.136339276,94.296188
HP11937,Kancheepuram,Uthiramerur,Walajabad,"12°47'00""","79°49'50""",06-01-2018,798,9,14,21.87,268,21,248,49,60,152.5,1.47,8.4,1470,125,10.43019,2.00137,79.34077,10.91150667,0.247327509,2.414755638,101.4429241,1.62308678,0.138017583,0.317197499,117.0948158
HP11957,Kancheepuram,Kancheepuram,Kilambi,"12°51'30""","79°39'20""",06-01-2018,489,8,14,29.16,107,37,92,23,5.763867,244.1105,0.39,8.4,870,155,3.739472,1.095237,53.50468,10.91150667,0.247327509,3.219674184,26.91342885,0.96060238,0.171141803,0.194372903,42.61805429
13018,Kancheepuram,Kancheepuram,Chetiyarpet,"12°52'00""","79°45'20""",06-01-2018,482,4,22,44.955,90,22,78,25,6.917221,292.9572,0.35,8.4,930,240,2.527729,0.2353681,42.20961,10.91150667,0.388657515,4.963664367,24.15307717,1.02685082,0.26499376,0.191590469,41.90034077
HP11938,Kancheepuram,Uthiramerur,Thenneri,"12°52'00""","79°51'40""",06-01-2018,581,6,78,47.385,48,35,206,9,0,262.3,0.26,7.9,1080,390,1.057796,0,19.37734,7.01454,1.377967552,5.231970549,17.9422859,1.19247192,0.43061486,0.230942039,33.42079282
HP11958,Kancheepuram,Kancheepuram,Govindavadi,"12°56'30""","79°40'05""",06-01-2018,1187,10,82,75.33,226,22,471,190,0,152.5,0.35,7.8,2070,515,4.333717,0,47.52663,6.235146667,1.448632555,8.317491642,24.15307717,2.28557118,0.568632443,0.471821342,43.480373
HP11963,Kancheepuram,Kancheepuram,Purisai,"12°59'10""","79°45'00""",06-01-2018,924,3,36,66.825,187,30,316,183,0,183,0.51,7.9,1620,365,4.258878,0,50.22008,7.01454,0.635985024,7.378420005,35.19448388,1.78870788,0.403011343,0.367281314,52.78242944
MWW1,Kancheepuram,Thirukazhukkuntram,Chennakayapakkam,"12°21'11""","79°51'43""",03-01-2018,346,6,42,40.095,31,2,85,12,1.296692,173.6636,0.52,7.9,680,270,0.8209792,0,19.8446,7.01454,0.741982528,4.427052003,35.8845718,0.750815653,0.29811798,0.137531748,49.25461171
MWW2,Kancheepuram,Thirukazhukkuntram,Chittamur Bdo,"12°24'25""","79°53'32""",03-01-2018,540,4,28,19.44,156,4,206,2,0,213.5,0.27,7.6,990,150,5.543191,0.5025251,68.64602,4.67636,0.494655019,2.146449456,18.63237382,1.09309926,0.1656211,0.214644924,27.42320358
MWW3,Kancheepuram,Thirukazhukkuntram,Chunambedu,"12°15'30""","79°54'00""",03-01-2018,499,2,20,32.805,128,14,67,15,8.070574,341.8038,0.33,8.4,960,185,4.094801,2.174078,57.85627,10.91150667,0.353325013,3.622133457,22.77290133,1.05997504,0.204266023,0.198347809,39.12245534
KpmMWW7,Kancheepuram,Cheyyur,Kannimangalam,,,03-01-2018,231,0.1,40,10.935,34,4,64,1,0.2944219,124.693,0.12,7.4,450,145,1.229017,0,33.03185,3.117573333,0.706650027,1.207377819,8.28105503,0.4968633,0.160100397,0.091820329,14.06144023
MWW11,Kancheepuram,Cheyyur,Vedal,"12°18'03""","79°57'53""",03-01-2018,221,1,60,4.86,22,2,35,1,0.7032425,149.2717,0.11,7.7,440,170,0.7345679,0,21.73728,5.455753333,1.05997504,0.536612364,7.590967111,0.485821893,0.187703913,0.087845423,15.40467908
13001A,Kancheepuram,Cheyyur,Vilambur,"12°18'20""","80°00'40""",03-01-2018,347,9,66,13.365,35,8,71,7,0.6523704,174.3277,0.15,7.6,610,220,1.027169,0,24.87385,4.67636,1.165972544,1.475684001,10.35131879,0.673525807,0.242910947,0.137929238,18.72370132
HP11916,Kancheepuram,Cheyyur,Kayappakkam,"12°20'45""","79°51'40""",03-01-2018,269,4,68,13.365,12,2,57,8,1.396404,148.5536,0.23,8,510,225,0.3482387,0,10.30249,7.793933333,1.201305045,1.475684001,15.87202214,0.56311174,0.24843165,0.106924971,27.26141288
HP11956,Kancheepuram,Cheyyur,Puthirankottai,"12°18'30""","79°53'50""",03-01-2018,416,11,90,27.945,22,2,106,12,1.03162,173.9368,0.16,7.8,780,340,0.519321,0,12.26997,6.235146667,1.58996256,3.085521093,11.04140671,0.86122972,0.375407827,0.16535609,23.35403066
11733,Kancheepuram,Cheyyur,Nedumaram,"12°26'05""","80°05'17""",02-01-2018,183,1,36,20.655,2,5,35,3,1.461202,123.4759,0.17,8.1,370,175,0.0657975,0,2.344177,8.573326667,0.635985024,2.280602547,11.73149463,0.408532047,0.193224617,0.07274078,23.89590631
13242,Kancheepuram,Cheyyur,Ammanur,"12°22'05""","80°00'10""",02-01-2018,612,11,38,51.03,113,3,199,52,0,213.5,0.15,7.9,1110,305,2.81548,0,44.33127,7.01454,0.671317525,5.634429822,10.35131879,1.22559614,0.336762903,0.243264247,25.47722943
13251,Kancheepuram,Cheyyur,Mugaiyur,"12°24'00""","80°05'50""",02-01-2018,641,3,100,20.655,110,13,163,22,0,396.5,0.19,8.2,1180,335,2.616098,0,40.52317,9.35272,1.766625067,2.280602547,13.11167046,1.302885987,0.369887123,0.254791475,28.43918266
HP11917,Kancheepuram,Cheyyur,Sengattur . 171,"12°23'20""","80°00'30""",02-01-2018,232,3,40,12.15,23,12,53,2,1.163592,123.7864,0.17,8,430,150,0.8174037,0,23.24795,7.793933333,0.706650027,1.34153091,11.73149463,0.474780487,0.1656211,0.092217819,22.3062283
MWW15,Kancheepuram,Cheyyur,Pavunjur Bdo,"12°26'45""","80°00'16""",02-01-2018,172,4,52,7.29,1,3,28,3,0.9307806,99.01922,0.23,8,330,160,0.03441502,0,1.312075,7.793933333,0.918645035,0.804918546,15.87202214,0.36436642,0.176662507,0.068368383,25.99891636
A13015,Kancheepuram,Madhuranthagam,Acharapakkam Sangulam,,,04-01-2018,313,3,72,13.365,21,7,71,24,1.111408,148.8489,0.05,7.9,580,235,0.5963157,0,15.78877,7.01454,1.271970048,1.475684001,3.450439596,0.640401587,0.259473057,0.124414558,14.23692285
A13023,Kancheepuram,Madhuranthagam,Acharpakkam Mosque,"12°24'22""","79°48'59""",04-01-2018,894,20,54,44.955,187,22,305,85,0,213.5,0.15,7.8,1510,320,4.549159,0,53.90051,6.235146667,0.953977536,4.963664367,10.35131879,1.667252407,0.353325013,0.355356596,24.88004137
13243,Kancheepuram,Madhuranthagam,L.endathur,"12°31'04""","79°46'12""",05-01-2018,538,4,54,58.32,63,3,195,40,0,213.5,0.24,7.9,1030,375,1.415685,0,26.577,7.01454,0.953977536,6.439348368,16.56211006,1.137264887,0.41405275,0.213849943,32.73514354
KpmMWW6,Kancheepuram,Cheyyur,Ladakaranai,,,05-01-2018,173,1,36,21.87,1,2,18,2,1.111408,148.8489,0.21,7.9,370,180,0.03243821,0,1.178519,7.01454,0.635985024,2.414755638,14.4918463,0.408532047,0.19874532,0.068765874,25.2331702
13003,Kancheepuram,Madurandagam,Karusangal,"12°20'05""","79°44'47""",04-01-2018,254,1,34,29.16,26,2,43,1,2.22141,187.7156,0.31,8.1,530,205,0.7902386,0,21.42586,8.573326667,0.600652523,3.219674184,21.39272549,0.585194553,0.226348837,0.100962612,34.69888487
HP11936,Kancheepuram,Madurandagam,Orathi,"12°22'50""","79°42'20""",04-01-2018,597,13,82,19.44,108,4,174,36,0,231.8,0.34,8,1050,285,2.784679,0,44.77472,7.793933333,1.448632555,2.146449456,23.46298925,1.1593477,0.31468009,0.237301888,36.56333427
HP11955,Kancheepuram,Madurandagam,Velamur [ramapuram],"12°28'40""","79°46'00""",04-01-2018,327,1,32,29.16,42,14,89,25,0.8842188,149.0842,0.18,7.8,620,200,1.292381,0,29.55455,6.235146667,0.565320021,3.219674184,12.42158255,0.684567213,0.220828133,0.129979426,23.47709819
MWW8,Kancheepuram,Madhuranthagam,Velmaur,"12°28'37""","79°45'56""",04-01-2018,1067,12,150,91.125,113,0.1,168,79,0,225.7,0.37,7.8,1990,750,1.79573,0,24.69711,6.235146667,2.6499376,10.06148183,25.53325301,2.197239927,0.8281055,0.42412247,47.929287
13005,Kancheepuram,Madurandagam,Sittravadi,"12°28'00""","79°54'50""",02-01-2018,199,13,46,13.365,2,0.1,18,1,1.168814,98.76824,0.24,8.1,350,170,0.06676726,0,2.496298,8.573326667,0.812647531,1.475684001,16.56211006,0.386449233,0.187703913,0.079100629,28.07702203
HP11935,Kancheepuram,Madurandagam,Thennampattu,"12°28'00""","79°55'40""",02-01-2018,506,9,78,24.3,81,0.1,89,11,0,366,0.19,8.1,940,295,2.052704,0.1070207,37.41009,8.573326667,1.377967552,2.68306182,13.11167046,1.037892227,0.325721497,0.201130244,27.31077047
11729,Kancheepuram,Madhuranthagam,Padalam,"12°35'31""","79°56'49""",04-01-2018,636,7,20,24.3,184,0.1,149,112,30,170.8,0.63,8.4,1100,150,6.537386,0.8019408,72.73442,10.91150667,0.353325013,2.68306182,43.47553891,1.214554733,0.1656211,0.252804022,59.05641226
13098,Kancheepuram,Madhuranthagam,Malaivayavur,"12°35'38""","79°53'37""",04-01-2018,561,14,66,41.31,83,0.1,96,36,0,353.8,0.13,8.1,1030,335,1.973541,0,35.03137,8.573326667,1.165972544,4.561205094,8.971142949,1.137264887,0.369887123,0.222992227,25.00179149
A13013,Kancheepuram,Madhuranthagam,Maduranthakam T.office,"12°30'33""","79°53'08""",04-01-2018,282,7,34,17.01,38,10,53,1,2.347524,157.5732,0.07,8.2,500,155,1.328399,0,33.02405,9.35272,0.600652523,1.878143274,4.830615434,0.552070333,0.171141803,0.112092349,17.49743572
