Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,HAR_Total,SAR,RSC,Na%,WnQn(Ph),WnQn(Ca),WnQn(Mg),WnQn(F),WnQn(Ec),WnQn(Har),WnQn(TDS),WaterQualityIndex
55.0,0,0,54.0,49.0,51.0,33.0,877.0,3.0,60.0,76.545,168.0,0.1,294.0,82.0,0.0,366.0,0.24,7.6,1660.0,465.0,3.390086,0.0,44.01324,4.67636,1.05997504,8.451644733,16.56211006,1.832873507,0.51342541,0.348599256,33.44498801
3.0,0,6,3.0,3.0,4.0,33.0,637.0,3.0,34.0,27.945,150.0,34.85,135.0,48.0,0.0,372.1,0.26,8.2,1160.0,200.0,4.615746,0.0,56.14651,9.35272,0.6006525229999999,3.085521093,17.942285899999995,1.280803173,0.220828133,0.253201512,32.73601233
20.0,0,9,19.0,12.0,18.0,33.0,500.0,3.0,28.0,27.945,120.0,0.1,160.0,50.0,1.929022,163.00799999999995,0.46,8.1,890.0,185.0,3.839227,0.0,58.52256,8.573326667,0.494655019,3.085521093,31.74404428,0.982685193,0.204266023,0.1987453,45.28324358
29.0,0,9,28.0,19.0,22.0,33.0,788.0,15.0,66.0,38.88,166.0,0.1,277.0,49.0,0.0,250.1,0.11,7.9,1370.0,325.0,4.007397,0.0,52.64268000000001,7.0145399999999976,1.1659725440000002,4.292898912,7.590967111,1.5126727130000002,0.358845717,0.313222593,22.24911959
51.0,0,6,49.0,43.0,44.0,33.0,242.0,3.0,36.0,20.655,16.0,0.1,35.0,32.0,2.127335,142.7934,0.37,8.2,420.0,175.0,0.5263800000000001,0.0,16.59121,9.35272,0.635985024,2.280602547,25.53325301,0.46373908,0.193224617,0.096192725,38.555717
72.0,0,6,72.0,66.0,64.0,33.0,781.0,12.0,66.0,46.17,173.0,0.1,170.0,62.0,0.0,420.9,0.3,8.0,1460.0,355.0,3.995877,0.0,51.46902,7.793933332999999,1.1659725440000002,5.097817458,20.70263758,1.6120453730000002,0.3919699370000001,0.310440159,37.07481638
56.0,0,6,55.0,50.0,52.0,33.0,586.0,6.0,70.0,69.255,51.0,0.1,131.0,55.0,0.0,366.0,0.46,8.0,1140.0,460.0,1.0347620000000002,0.0,19.43706,7.793933332999999,1.236637547,7.646726187,31.74404428,1.25872036,0.507904707,0.232929492,50.42089591
30.0,0,0,29.0,20.0,43.0,33.0,855.0,19.5,72.0,71.685,113.0,20.0,284.0,63.0,0.0,274.5,0.1,7.8,1490.0,475.0,2.256214,0.0,32.9467,6.235146667,1.271970048,7.915032368999999,6.9008791920000006,1.645169593,0.5244668170000001,0.339854463,24.83251915
76.0,0,8,77.0,71.0,69.0,33.0,806.0,19.5,68.0,82.62,110.0,0.1,202.0,63.0,0.0,366.0,0.41,8.1,1500.0,510.0,2.11953,0.0,31.94198,8.573326667,1.201305045,9.122410188,28.29360469,1.656211,0.56311174,0.320377424,49.73034675
89.0,0,6,91.0,84.0,86.0,30.0,1267.0,10.0,68.0,89.91,303.0,9.0,255.0,120.0,0.0,508.72665000000006,0.65,7.6,2420.0,540.0,5.673759,0.0,54.45736,4.67636,1.201305045,9.927328734,44.85571475,2.6720204130000003,0.59623596,0.50362059,64.43258549
8.0,0,6,8.0,8.0,8.0,30.0,1217.0,5.0,108.0,53.46,282.0,1.0,520.125,80.0,0.0,262.3,0.1,7.5,2190.0,490.0,5.544508,0.0,55.55206999999999,3.896966667,1.907955072,5.9027360039999985,6.9008791920000006,2.41806806,0.541028927,0.48374606,22.05137998
6.0,0,0,6.0,5.0,6.0,30.0,652.0,14.0,66.0,37.665,124.0,0.1,157.0,55.0,0.0,298.9,0.32,7.6,1180.0,320.0,3.016793,0.0,45.75055,4.67636,1.1659725440000002,4.158745821,22.08281341,1.302885987,0.353325013,0.259163871,33.99926665
